Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9;Column10;Column11;Column12;Column13;Column14;Column15;Column16;Column17;Column18;Column19;Column20;Column21;Column22;Column23
103;País amfitrió de la Copa Mundial de Futbol de l'any...?;Esports / Història;2014;Brasil;1974;Alemanya;1978;Argentina;1982;Espanya;1986;Mèxic;1990;Itàlia;1994;Estats Units;1998;França;2006;Alemanya;2010;Sud-àfrica
104;Quin és el codi internacional per als vehicles d'aquests països?;Geografia / Transport;Suïssa;CH;Hongria;H;Alemanya;D;Finlàndia;FIN;Croàcia;HR;Canadà;CDN;Estònia;EST;Israel;IL;Àustria;A;Espanya;E
105;Aquest actor ha interpretat a Batman?;Cinema;George Clooney;Veritat;Ben Affleck;Veritat;Christian Bale;Veritat;Val Kilmer;Veritat;Michael Keaton;Veritat;Henry Cavill;Fals;Robert Pattinson;Veritat;Chris O'Donnell;Fals;Adam West;Veritat;Harrison Ford;Fals
106;En quina dècada es va estrenar... (Televisió / Cinema)?;Televisió / Cronologia;El Rei Lleó;1990;Peter Pan;1950;Fantasia;1940;Els 101 dálmates;1960;Cars;2000;Els aristogats;1970;Monstruos S.A.;2000;La Sireneta;1980;Toy Story;1990;Frozen;2010
107;Ordena les pel·lícules segons la seva recaptació (2019) (1a la més recaptada);Cinema (Ordenació);Avatar;1;Venjadors: Endgame;2;Titanic;3;Star Wars: El despertar de la força;4;Frozen 2;5;E.T., l'extraterrestre;6;Jurassic Park;7;Buscant en Nemo;8;Joker;9;Tauró;10
108;És una novel·la de Sherlock Holmes?;Literatura;La vall del terror;Veritat;El gos dels Baskerville;Veritat;El signe dels quatre;Veritat;Estudi en escarlata;Veritat;La dama de blanc;Fals;Els crims del carrer Morgue;Fals;Els 39 esglaons;Fals;L'ombra del dubte;Fals;El somni etern;Fals;Matar és fàcil;Fals
109;Ordena aquestes poblacions segons la distància de Santiago de Compostela (1a la més allunyada);Geografia (Ordenació);Roncesvalles;1;Pamplona;2;Estella;3;Logroño;4;Burgos;5;León;6;Carrión de los Condes;7;Ponferrada;9;Arzúa;10;N/A;N/A
110;És una estrella?;Ciència / Astronomia;Vega;Veritat;Pólox;Veritat;Montaña;Fals;Altair;Veritat;Canopus;Veritat;Sírius;Veritat;Betelgeuse;Veritat;Býldha;Fals;Securis;Fals;Cástor;Veritat
111;En quin segle es va inventar?;Història / Tecnologia;Impremta;XV;Màquina de vapor;XVIII;Abrelates;XIX;Avió;XX;Telescopi;XVII;Cèl·lula fotoelèctrica;XIX;Bolígraf;XX;Pinça;XIX;Bomba de buit;XVII;Frigorífic;XX
112;Quants Óscars van guanyar aquestes pel·lícules?;Cinema / Premis;Star Wars (6 èpoques de Les Galàxies);7;Forrest Gump;6;Ben-Hur;11;Allò que el vent s'endugué;10;Amadeus;8;Gladiator;5;Titanic;11;Avatar;3;E.T., l'extraterrestre;4;La La Land;6
113;Quin color (en anglès) falta en el nom de la banda?;Música;Red;Hot Chili Peppers;White;Snake;Red;Simply;Blue;Oyster Cult;Pink;Floyd;White;Stripes;Green;Day;Deep;Purple;Black;Sabbath;Maroon;5
114;És una constel·lació?;Ciència / Astronomia;Andròmeda;Veritat;Camaleó;Veritat;Crux;Veritat;Hèrcules;Veritat;Draco;Veritat;Orión;Veritat;Ossa Major;Veritat;Venus;Fals;Esfinx;Fals;Omega;Fals
115;Què significa aquest símbol?;Cultura General / Símbols;©;Drets d'autor;®;Marca registrada;@;Arroba;$;Dòlar;€;Euro;¥;Yen o Yuan;§;Signe de secció;£;Lliura esterlina;฿;Baht;¢;Cèntim
116;Ordena aquestes parts del cos humà segons la seva posició (1a la més superior);Ciència / Anatomia (Ordenació);Hipòtalam;2;Faringe;3;Cor;4;Fetge;5;Lòbul frontal;1;Intestí prim;7;Múscul sartori;9;Tendó d'Aquil·les;10;Bufeta;8;Ronyons;6
117;És una trilogia cinematogràfica (2020)?;Cinema;Retorn al futur;Veritat;Toy Story;Fals;El Senyor dels Anells;Veritat;Rambo;Fals;Com entrenar al teu drac;Veritat;La jungla de cristall;Fals;Venjança;Veritat;High School Musical;Fals;Pirates del Carib;Fals;Cars;Fals
118;A quin videojoc pertanyen aquests villans?;Videojocs;Bowser;Super Mario Bros;Dutch Van der Linde;Red Dead Redemption;Borderlands;Jack el guapo;Revolver Ocelot;Metal Gear Solid;LeChuck;Monkey Island;Bison;Street Fighter;Ganon;The Legend of Zelda;Sephirot;Final Fantasy VII;Némesis;Resident Evil;Dr. Willy;Mega Man
119;De quina marca és aquest perfum?;Consum;Invictus;Paco Rabanne;Agua Fresca;Adolfo Domínguez;N° 5;Chanel;Polo;Ralph Lauren;Good Girl;Carolina Herrera;Flower;Kenzo;Eternity;Calvin Klein;Nina;Nina Ricci;La Vie Est Belle;Lancôme;Opium;YSL
120;En quin segle va transcórrer cada guerra?;Història;Guerra dels Trenta Anys;XVII;Guerra de Successió;XVIII;Guerra de Crimea;XIX;Primera Guerra Mundial;XX;Guerra Civil Síria;XXI;Guerra de Secessió;XIX;Guerra de Corea;XX;Guerra de Vietnam;XX;Rebel·lió del Ron;XIX;Segona Croada;XII
121;Ordena aquests minerals segons la seva duresa (1r el més tou);Ciència (Ordenació);Talc;1;Guix;2;Calcita;3;Fluorita;4;Apatita;5;Ortoclasa;6;Quars;7;Topazi;8;Corindó;9;Diamant;10
122;Quantes temporades van tenir aquestes sèries?;Televisió / Cinema;Friends;10;The X-Files (Expediente X);11;Joc de Trons;8;Perdidos (Lost);6;Los Soprano;6;Chernobyl;1;Castle;8;Buffy, cazavampiros;7;Battlestar Galactica;4;Star Trek: La nova generació;7
123;És un període geològic?;Ciència / Natura;Quaternari;Veritat;Neogen;Veritat;Cretaci;Veritat;Carbonífer;Veritat;Juràsic;Veritat;Triàsic;Veritat;Silúric;Veritat;Paleogen;Veritat;Eocènic;Fals;Magmàtic;Fals
124;Quin és el símbol de cada element químic?;Ciència / Química;Mercuri;Hg;Crom;Cr;Bari;Ba;Estany;Sn;Coure;Cu;Oxigen;O;Nitrogen;N;Or;Au;Potasi;K;Einsteinium;Es
125;En quin segle van succeir aquests esdeveniments?;Història / Cronologia;Marco Polo viatja a la Xina;XIII;Calendari gregorià;XVI;Construcció del Colisseu;I;Darwin arriba a les Galápagos;XIX;Independència de Mèxic;XIX;Cai Lun inventa el paper;II;Mahoma funda l'Islam;VII;Reforma protestant;XVI;Capella de l'Expiació de la Reina Victòria;XIX;Annexió de la República de Texas;XIX
126;Són races alienígenes de còmic, cine o ciència ficció?;Cultura / Cinema;Kryptonià;Veritat;Ewok;Veritat;Cocoteco;Veritat;Angkor;Fals;Skrull;Veritat;Saiyan;Veritat;Metroid;Fals;Mohenjo-Daro;Fals;Critters;Veritat;Yautja;Veritat
127;És membre de la Unió Europea (2017)?;Geografia;Itàlia;Veritat;Finlàndia;Veritat;Luxemburg;Veritat;Letònia;Veritat;Moldàvia;Fals;França;Veritat;Àustria;Veritat;Noruega;Fals;Islàndia;Fals;Suïssa;Fals
129;Ordena aquestes begudes alcohòliques segons la seva graduació (1a la que més tingui);Gastronomia (Ordenació);Tequila;3;Vi;7;Cervesa;9;Anís;4;Mescal;2;Absenta;1;Limoncello;5;Sidra;10;Patxaran;6;Xerès;8
130;En quin país es troba aquest parc natural?;Geografia;Fiordland;Nova Zelanda;Serengeti;Tanzània;Galápagos;Equador;Sagarmatha;Nepal;Doñana;Espanya;Yellowstone;Estats Units;Canaima;Veneçuela;Iguazú;Argentina;Torres del Paine;Xile;Tikal;Guatemala
131;Són certes aquestes afirmacions sobre Marilyn Monroe?;Personalitats;El seu nom real era Norma Jean;Veritat;Va realitzar nus per a Playboy;Veritat;Va estar casada amb Michael Jackson;Fals;Va tenir una filla adoptiva que va morir a les poques setmanes;Fals;Va actuar en 30 pel·lícules;Veritat;Va néixer a Noruega;Fals;Es va casar 3 vegades;Veritat;Té una profunda relació amb Agatha Christie;Fals;Va créixer en orfenats i cases adoptives;Veritat;Va morir sola i abandonada;Fals
132;Com acaben aquests refranes?;Cultura General / Llengua;D'on no hi ha;no en raja;Voler és;poder;Al mal temps,;bona cara;A sants i minyons;no prometis si no dons;A la tercera;va la vençuda;Qui té boca;s'equivoca;Qui no arrisca;no pisca;Si vols estar ben servit;fes-te tu mateix el llit;Tal faràs;tal trobaràs;Qui de jove no treballa;de vell dorm a la palla+S100
133;Ordena aquestes obres de J.K. Rowling (1a la més antiga);Literatura (Ordenació);Harry Potter i el pres d'Azkaban;3;Harry Potter i la cambra secreta;2;Harry Potter i la pedra filosofal;1;Harry Potter i l'Orde del Fènix;5;Harry Potter i el príncep mestís;6;Harry Potter i les Relíquies de la Mort;7;Animals fantàstics i on trobar-los;8;Quidditch a través dels temps;9;Els contes de Beedle el Bard;10;Harry Potter i el llegat maleït;11
134;És una divinitat hinduista?;Mitologia / Religió;Ganesha;Veritat;Sarasvati;Veritat;Krishna;Veritat;Kali;Veritat;Shiva;Veritat;Vixnu;Veritat;Amaterasu;Fals;Loki;Fals;Anubis;Fals;Ohso;Fals
135;En quin país va morir aquest dictador?;Història;Fidel Castro;Cuba;Augusto Pinochet;Xile;Kim Jong-il;Corea del Nord;Mobutu Sese Seko;Zaire;Jorge Rafael Videla;Argentina;Saddam Hussein;Iraq;Adolf Hitler;Alemanya;Benito Mussolini;Itàlia;Francisco Franco;Espanya;Mao Zedong;Xina
136;A quina edat va morir...?;Cultura General / Biografies;Jim Morrison;27;Amy Winehouse;27;Heath Ledger;28;James Dean;24;John Lennon;40;Janis Joplin;27;Jimi Hendrix;27;Kurt Cobain;27;Marilyn Monroe;36;Diana de Gal·les;36
137;És el nombre d'un programa de estació espacial?;Tecnologia / Ciència;Voyager;Fals;Progress;Veritat;Tiangong;Veritat;Shenzhou;Fals;Mir;Veritat;Lunera;Fals;Soiuz;Veritat;Skylab;Veritat;Almaz;Veritat;Mariner;Fals
138;En quin segle va néixer?;Història / Biografies;Rodrigo Díaz de Vivar;XI;Rosa Parks;XX;Joana d'Arc;XV;Pere I de Rússia;XVII;Mare Teresa;XX;Cardenal Richelieu;XVII;Charles Dickens;XIX;Johannes Brahms;XIX;Gengis Kan;XII;Juli Cèsar;I a.C.
139;Ordena les ciutats segons la seva localització (1a la més occidental);Geografia (Ordenació);Lisboa;1;Dublín;2;Barcelona;3;Praga;4;Hèlsinki;5;Kiev;6;Viena;7;Amsterdam;8;Berlín;9;Atenes;10
140;De quin personatge és companyero...?;Cultura General / Ficció;Hipo;Desdentat;Doraemon;Nobita;Superman;Abú;Aladín;Abú;Harry Potter;Hedwig;Snoopy;Charlie Brown;Obélix;Idèfix;Patán;Pierre Nodoyuna;Mickey Mouse;Pluto;Tintín;Milú
141;Qui interpreta aquestes famoses cançons?;Música;R.E.M.;Losing My Religion;The Eagles;Hotel California;Nirvana;Smells Like Teen Spirit;Coldplay;Viva la Vida;Bruce Springsteen;Born in the U.S.A.;David Bowie;Let It Be;Adele;Rolling in the Deep;The Beatles;Let It Be;The Cranberries;Zombie;ABBA;Dancing Queen
142;Ordena aquests actors segons la seva altura (1r el més alt);Cinema (Ordenació);Gregory Peck;3;Samuel L. Jackson;4;Leonardo DiCaprio;5;Liam Neeson;2;Danny DeVito;10;Tim Robbins;1;Sylvester Stallone;8;Robert Pattinson;6;Brad Pitt;7;N/A;N/A
143;Ordena els països segons la seva superfície (1r el més petit);Geografia (Ordenació);Ciutat del Vaticà;1;Mònaco;2;Nauru;3;Tuvalu;4;San Marino;5;Liechtenstein;6;Illes Marshall;7;Saint Kitts i Nevis;8;Maldives;9;Malta;10
144;És un director de cine?;Cinema;Ethan Coen;Veritat;Wes Anderson;Veritat;Kathryn Bigelow;Veritat;David Lynch;Veritat;David Fincher;Veritat;Steven Soderbergh;Veritat;Sylvester Stallone;Fals;Sam Crawford;Fals;Frank Gifford;Fals;Roberto Clemente;Fals
145;Ordena aquestes redes socials segons el seu any d'aparició (1a la més antiga);Tecnologia (Ordenació);Instagram;1;Facebook;2;Youtube;3;MySpace;4;Spotify;5;WhatsApp;6;Twitter;7;Pinterest;8;Snapchat;9;TikTok;10
146;De quina companyia és conegut cada eslogan?;Economia / Consum;La Piara;Más bueno que el pan;Rexona;No te abandona;Heineken;Piensa en verde;Nike;Just Do It;Pringles;Cuando haces pop ya no hay stop;BMW;¿Te gusta conducir?;Apple;Think different;Oral-B;La marca más usada por los dentistas;Telepizza;El secreto está en la masa;El Almendro;Vuelve a casa por Navidad
147;Quin és el principal color de...?;Cultura General;Pikachu;Groc;Els pantalons d'Astèrix;Vermell;La samarreta de Bart Simpson;Blau;El abric de Eric Cartman;Vermell;Els pantalons de Goofy;Blau;La camisa de Popeye;Blau;El barret de Pare Barrufet;Blanc;Los Minions;Groc;Els pantalons de Patricio Estrella;Verd;Milú;Blanc
148;És una varietat de raïm?;Gastronomia;Garnatxa;Veritat;Macabeu;Veritat;Ull de Llebre;Veritat;Tinta;Veritat;Castellà;Fals;Albariño;Fals;Moller;Fals;Beauvignon;Fals;Carménère;Veritat;Quina;Veritat
149;Quin és el país d'origen d'aquestes marques de cotxes?;Transport / Geografia;Seat;Espanya;Toyota;Japó;Smart;Alemanya;Kia;Corea del Sud;Dacia;Romania;Lexus;Japó;Tesla;Estats Units;Skoda;República Checa;Alfa Romeo;Itàlia;Nissan;Japó
150;Ordena aquests esports segons la seva velocitat màxima (1r el més ràpid);Esports (Ordenació);Fórmula 1;1;Patinatge de velocitat;2;Esquí de velocitat;3;Bobsleigh;4;Ciclisme en carretera;5;Esquí nòrdic;6;Vela;7;Esprint;8;NASCAR;9;Esquí;10
151;És una modalitat de gimnàstica artística masculina?;Esports;Anelles;Veritat;Terra;Veritat;Barra fixa;Veritat;Barres paral·leles;Veritat;Cavall amb arcs;Veritat;Salt de potro;Veritat;Viga d'equilibri;Fals;Barres asimètriques;Fals;Corda;Fals;Trampolí;Fals
152;A quins miedos es corresponen aquestes fobias?;Cultura General / Psicologia;Acrofobia;Altures;Claustrofobia;Espais cerrats;Nictofobia;Obscuritat;Hemofobia;Sang;Apifobia;Abelles;Ofidiofobia;Serps;Astrapofobia;Tempestes;Gerontofobia;Envelliment;Tripnofobia;Injeccions;Aracnofobia;Aranyes
153;Són invents descoberts per accident?;Ciència / Tecnologia;Velcro;Fals;Microones;Veritat;Airbag;Veritat;Penicilina;Veritat;Viagra;Veritat;Corda;Fals;Coca-Cola;Fals;Patates Fregides;Veritat;Ordinador personal;Fals;Marcapassos;Veritat
154;Qui va protagonitzar, junt a Julia Roberts...?;Cinema;Pretty Woman;Richard Gere;Núvia a la fuga;Richard Gere;Triar un amor;Richard Gere;El mexicà;Brad Pitt;Notting Hill;Hugh Grant;El casament del meu millor amic;Dermot Mulroney;L'informe Pelicà;Denzel Washington;Erin Brockovich;Albert Finney;La guerra de Charlie Wilson;Tom Hanks;Conspiració;Mel Gibson
155;De quin país europeu va ser colònia cada un d'aquests territoris?;Geografia / Història;Catar;Gran Bretanya;Alaska;Rússia;Costa Rica;Espanya;Filipines;Espanya;Jamaica;Gran Bretanya;Costa de Marfil;França;Ceilán;Països Baixos;Hong Kong;Gran Bretanya;Angola;Portugal;Bombai;Portugal/Gran Bretanya
156;És una varietat de cervesa?;Gastronomia;Stout;Veritat;Porter;Veritat;Lager;Veritat;IPA;Veritat;Lambic;Veritat;Bitter;Veritat;Mash;Fals;Casker;Fals;Dubinett;Fals;Korn;Fals
157;Quina és la beguda alcohòlica principal del...?;Gastronomia;Bloody Mary;Vodka;Cafè irlandès;Whisky;Daiquirí;Ron;Margarita;Tequila;Mojito;Ron;Gin Tónic;Ginebra;Manhattan;Whisky;Old Fashioned;Whisky;Soiuz;Vodka;Champany;N/A
158;Ordena els països per víctimes militars durant la Segona Guerra Mundial (1r el que més);Història (Ordenació);Unió Soviètica;1;Alemanya;2;Xina;3;Japó;4;Estats Units;5;Regne Unit;6;Itàlia;7;Iugoslàvia;8;Hongria;9;Romania;10
159;Ordena aquests objectes segons el seu any de invenció (1r el més antic);Història / Tecnologia (Ordenació);El rellotge de sorra;2;El termòmetre;5;L'escafandra;6;El parallamps;7;La brúixola;3;La pólvora;1;El whisky;4;El sostenidor;8;La cinta adhesiva;9;La fotocopiadora;10
160;De qui és aquesta famosa frase?;Cultura General;Només sé que no sé res;Sócrates;Eureka!;Arquímedes;Perdona'ls perquè no saben el que fan;Jesús;L'Estat soc jo;Luis XIV de Francia;Cogito ergo sum;René Descartes;Tinc un somni;Martin Luther King;Fes l'amor, no la guerra;John Lennon;Veni, vidi, vici;Juli Cèsar;Perdonin que no m'aixequi;Groucho Marx;I, no obstant això, es mou;Galileo Galilei
162;Quin és el principal color de...?;Cultura General;Un canari;Groc;Una maragda;Verd;Un trèvol;Verd;Rayo McQueen;Vermell;Un rubí;Vermell;Els barrufets;Blau;Tinky Winky;Morat;Formatge cheddar;Taronja;Les emoticones;Groc;Hellboy;Vermell
163;En quina dècada es va estrenar... en televisió?;Televisió / Cronologia;Twin Peaks;1990;El Príncipe de Bel-Air;1990;Dallas;1970;Perdidos (Lost);2000;Las chicas Gilmore;2000;Vacaciones en el mar;1970;Homeland;2010;Luz de Luna;1980;Cuéntame cómo pasó;2000;Colombo;1960
164;Com acaben aquests refranes?;Cultura General / Llengua;No diguis blat;fins que no sigui al sac i ben lligat;Cel rogent;pluja o vent;Allà on mengen tres;mengen quatre;Qui no vulgui pols;que no vagi a l'era;Qui no té cap;ha de tenir cames;Panxa plena;no té pena;L'ase d'en Mora;de tot s'enamora;Cara pigada;cara estimada;A la taula i al llit;al primer crit;Gent jove;pa tou
165;Nombre de...;Cultura General / Ciència;Colors a l'arc de Sant Martí;7;Polzades en un peu (mesura);12;Notes musicals;7;Teletubbies;4;Viatges de Colom;4;Protons a l'hidrogen;1;Planetes del sistema solar;8;Boles de Drac;7;Estrelles en la constel·lació de l'Ossa Major;7;Estacions de l'any;4
166;Ordena aquestes ciutats per la seva latitud (1a la més al nord);Geografia (Ordenació);Sant Petersburg, Rusia;1;Edimburg, Regne Unit;2;Moscou, Rusia;3;Atenes, Grecia;4;Tòquio, Japó;5;La Meca, Arabia Saudita;6;Bogotà, Colombia;7;Nairobi, Kenia;8;Asunción, Paraguay;9;Auckland, Nova Zelanda;10
167;En quina part del cos es troba?;Ciència / Anatomia;Sistema vestibular;Oïda;Os ganchós;Canell;Cor;Pit;Columna;Tronc;Turmell;Peu;Cap;Cap;Ull;Cap;Còrnia;Ull;Martell;Oïda;Sinus etmoïdals;Cap
168;En quin país es troba aquest volcà?;Geografia;Vesuvi;Itàlia;Teide;Espanya;Hekla;Islàndia;Pinatubo;Filipines;Mont Pelée;França;Kilauea;Estats Units;Fuji;Japó;Krakatoa;Indonèsia;Katla;Islàndia;Santa Helena;Estats Units
169;Qui és el director d'aquesta pel·lícula?;Cinema;Apocalypse Now;Francis Coppola;2001: Una odisea de l'espai;Stanley Kubrick;Els set samurais;Akira Kurosawa;La jaqueta metàl·lica;Stanley Kubrick;Magnolia;Paul Thomas Anderson;El Padrí;Francis Coppola;Kill Bill;Quentin Tarantino;La guerra de les galàxies;George Lucas;Psicosi;Alfred Hitchcock;La Dolce Vita;Federico Fellini
170;És una de les 10 muntanyes més altes del món?;Geografia;Mont Elbrús;Fals;Mont Everest;Veritat;K2;Veritat;Kangchenjunga;Veritat;Lhotse;Veritat;Makalu;Veritat;Cho Oyu;Veritat;Dhaulagiri;Veritat;Annapurna;Veritat;Big Bell;Fals
171;Quin és el país d'origen d'aquestes marques de roba?;Economia / Consum;Dior;França;Zara;Espanya;Lacoste;França;Superdry;Gran Bretanya;Dolce & Gabbana;Itàlia;Adidas;Alemanya;Mizuno;Japó;Uniqlo;Japó;La Martina;Argentina;The North Face;Estats Units
172;A quin animal correspon el nom científic de...?;Ciència / Natura;Lynx Lynx;Lince comú;Vulpes Vulpes;Guineu comú;Alces Alces;Alce;Sciurus Vulgaris;Esquirol vermell;Canis Lupus;Llop;Ursus Arctos;Ós bru;Martes Martes;Marta;Gulo Gulo;Golafre;Lutra Lutra;Llutra europea;Meles Meles;Teixó comú
173;Ordena els períodes artístics (1r el més antic);Art (Ordenació);Renaixement;1;Barroco;2;Neoclassicisme;3;Romanticisme;4;Impressionisme;5;Postimpressionisme;6;Fauvisme;7;Realisme;8;Minimalisme;9;Surrealisme;10
174;De quin país és cada capital?;Geografia;Bratislava;Eslovàquia;Lima;Perú;Rabat;Marroc;Teheran;Iran;Kuala Lumpur;Malàisia;Asunción;Paraguai;Doha;Qatar;Dakar;Senegal;Varsòvia;Polònia;Islamabad;Pakistan
175;En 2024, quantes Champions o Copa Libertadores tenia...?;Esports / Futbol;Club Atlético Independiente;7 Libertadores;Liverpool F.C;6 Champions;AC Milan;7 Champions;Bayern de Múnich;6 Champions;Real Madrid;15 Champions;Peñarol;5 Libertadores;São Paulo FC;3 Libertadores;Club Olimpia;3 Libertadores;Club Atlético River Plate;4 Libertadores;FC Barcelona;5 Champions
176;En quina ciutat es troba aquest monument?;Geografia;Crist Redemptor;Rio de Janeiro;Colosseu;Roma;Santa Sofía;Estambul;Panteó;Roma;Big Ben;Londres;Sagrada Família;Barcelona;Louvre;París;Torre Eiffel;París;Edifici Flatiron;Nueva York;Temple del Lotus;Delhi
177;Quins són personatges de Star Wars i quins de Star Trek?;Cinema / Ficció;Mace Windu;Star Wars;Qui-Gon Jinn;Star Wars;Ro Laren;Star Trek;Benjamin Sisko;Star Trek;Gurn;Star Trek;Din Djarin;Star Wars;Bib Fortuna;Star Wars;Rose Tico;Star Wars;Jek Porkins;Star Wars;Greedo;Star Wars
178;És un mamífer?;Ciència / Natura;Ós bru;Veritat;Panda gegant;Veritat;Humà;Veritat;Ratpenat blau;Veritat;Equidna;Veritat;Balena blava;Veritat;Rata verda;Fals;Pingüí;Fals;Goanna;Fals;Tauró;Fals
179;És un animal del horòscop xinès?;Cultura General;Rata;Veritat;Búfal;Veritat;Tigre;Veritat;Conill;Veritat;Drac;Veritat;Serp;Veritat;Cavall;Veritat;Cabra;Veritat;Mico;Veritat;Gall;Veritat
180;Ordena aquests tenistes segons el número de setmanes com a número 1 de la ATP (2020) (1r el que més setmanes);Esports (Ordenació);Roger Federer;1;Novak Djokovic;2;Pete Sampras;3;Ivan Lendl;4;Jimmy Connors;5;Rafael Nadal;6;John McEnroe;7;Björn Borg;8;André Agassi;9;Lleyton Hewitt;10
181;És un tipus de gladiador romà?;Història;Murmillo;Veritat;Retiarius;Veritat;Secútor;Veritat;Aniquil·lus;Veritat;Provocator;Veritat;Thraex;Veritat;Samnis;Veritat;Escriptor;Fals;Vigorus;Fals;Limnoectes;Fals
182;Ordena aquestes lletres segons la seva posició en el teclat (1a més a la esquerra);Tecnologia (Ordenació);P;1;O;2;I;3;U;4;Y;5;T;6;R;7;W;8;Q;9;E;10
183;Què moviment artístic representa...?;Art;Miguel Ángel;Renaixement;Leonardo da Vinci;Renaixement;Salvador Dalí;Surrealisme;Peter Paul Rubens;Barroco;Francisco de Goya;Romanticisme;Georges Seurat;Puntillisme;Gustave Courbet;Realisme;Claude Monet;Impressionisme;Vincent Van Gogh;Postimpressionisme;Rembrandt;Barroco
184;Nombre de...;Cultura General / Ciència;Quilòmetres en una marató;42;Cantonades en un heptàgon;7;Dents de la boca;32;Oceans;5;Decimals del número $\\pi$;8;Planetes del nostre sistema solar;8;Estats que formen la Unió Europea (2020);27;Meravelles del món modern;7;Països pels quals passa el Danubi;10;Genets de l'Apocalipsi;4
185;En quina sèrie de televisió apareix aquest personatge?;Televisió;Spock;Star Trek;Phoebe Buffay;Friends;Michael Scott;The Office;Tyrion Lannister;Joc de Trons;George Costanza;Seinfeld;Penny;The Big Bang Theory;Negan;The Walking Dead;Nairobi;La Casa de Papel;Once;Stranger Things;Omar Little;The Wire
186;Ordena els animals per velocitat punta (1r el més ràpid);Ciència / Natura (Ordenació);Falcó pelegrí;1;Guepardo;2;Marlín;3;Cangur;4;Zebra;5;Peix vela;6;Tigre;7;Lleó;8;Estruç;9;Tauró;10
187;Ha pisat la Lluna?;Història / Ciència;Neil Armstrong;Veritat;Buzz Aldrin;Veritat;Pete Conrad;Veritat;James Irwin;Veritat;Al Worden;Fals;John Glenn;Fals;Alan Shepard;Veritat;Iuri Gagarin;Fals;John Young;Veritat;Edgard Mitchell;Veritat
189;En quin país es troba aquest lloc?;Geografia;Acròpolis;Grècia;Torre de Pisa;Itàlia;StoneHenge;Regne Unit;La Ciutat Prohibida;Xina;La necròpolis de Guiza;Egipte;Chichén Itzá;Mèxic;Angkor Wat;Cambodja;Taj Mahal;Índia;Uluru;Austràlia;Mezquita de Córdoba;Espanya
190;Ordena aquests invents per antiguitat (1r el més antic);Tecnologia (Ordenació);Roda;1;Radio FM;6;Telèfon;9;Focs artificials;4;Alfabet;3;Rifle;5;Motor dièsel;8;Misto;7;Calculadora de butxaca;10;Remington;N/A
191;Què mide aquesta unitat?;Ciència / Mesures;Pascal;Pressió;Kelvin;Temperatura;Newton;Força;Milla;Distància;Ohm;Resistència elèctrica;Hertz;Freqüència;Amperi;Corrent elèctrica;Lustre;Temps;Watt;Energia;Massa molecular;Mol
192;Quina és la religió més comuna en aquests països?;Geografia / Religió;Japó;Sintoisme;Brasil;Cristianisme;Índia;Hinduisme;Tailàndia;Budisme;Israel;Judaisme;Uzbekistan;Islamisme;Algèria;Islamisme;Malàisia;Islamisme;Namíbia;Cristianisme;Mèxic;Cristianisme
193;Es coneixia aquest aliment en la Edad Media en Europa?;Història / Gastronomia;Patata;Fals;Espeita;Veritat;Ceba;Veritat;Tomàquet;Fals;Col;Veritat;Nap;Veritat;Blat;Veritat;Orenga;Veritat;Gall d'indi;Fals;Cafè;Fals
194;És una de les 10 cascades més altes?;Geografia;Salt de l'Àngel;Veritat;Salt del Tugela;Veritat;Cascades Victòria;Fals;Yosemite;Veritat;Gocta;Veritat;Olo'upena;Veritat;Salt James Bruce;Veritat;Vinnufallet;Veritat;Eas a' Chual Aluinn;Veritat;Niàgara;Fals
195;Quin és el color característic de...?;Cultura General / Consum;Post-it;Groc;Starbucks;Verd;Coca-Cola;Vermell;Twitch;Morat;John Deere;Verd;Mitsubishi;Vermell;Caterpillar;Groc;UPS;Marró;Facebook;Blau;Barbie;Rosa
196;Quantes dimensions tenen aquestes figures geomètriques?;Ciència / Matemàtiques;Semirecta;1;Cub truncat;3;Quadrilàter;2;Pla;2;Corba;1;Tesseracte;4;Pentàcoro;4;El·lipse;2;Punt;0;Con;3
197;L'espanyol és idioma oficial en aquests països?;Geografia / Llengua;Guinea Equatorial;Veritat;Panamà;Veritat;Belice;Fals;Barbados;Fals;República Dominicana;Veritat;Jamaica;Fals;Portugal;Fals;Puerto Rico;Veritat;Andorra;Fals;Filipines;Fals
198;Ordena els mars i oceans segons el seu tamany (1r el més gran);Geografia (Ordenació);Oceà Pacífic;1;Oceà Atlàntic;2;Oceà Índic;3;Mar Carib;4;Mar de Tasmània;5;Oceà Àrtic;6;Mar del Corall;7;Mar de la Xina Meridional;8;Mar de Bering;9;Mar Mediterrani;10
199;Ordena les pel·lícules de James Bond segons el seu any de estrena (1a la més antiga);Cinema (Ordenació);Agent 007 contra el Dr. No;1;Des de Rússia amb amor;2;Goldfinger;3;Operació Tro;4;Només e s viu dues vegades;5;Al servei de sa Majestat;6;Diamants per a l'eternitat;7;Viu i deixa morir;8;Goldeneye;9;Skyfall;10
200;Dècada dels Jocs Olímpics de...?;Esports / Història;Rio de Janeiro;2010;Sídney;2000;Pequín;2000;Moscou;1980;Múnich;1970;Melbourne;1950;Hèlsinki;1950;Anvers;1920;Estocolmo;1910;París;1900
